cycles,instructions,load_misses,store_misses,ept_walk_cycles
1654890,935,4758,124282,144429
4963353,2875,13731,382257,415538
4061682,2352,11259,312871,336228
2698083,1536,7477,204363,232030
4492342,2616,11918,347938,367694
3106529,1786,8568,237342,260407
4317122,2498,11496,332013,363967
2713888,1563,7239,207668,232571
4259046,2460,11607,327087,355634
4761446,2771,12879,368711,378535
3477660,2025,9208,269370,252327
3401008,1972,9091,262055,250117
3555515,2076,9519,276168,258374
3381722,1964,9520,261272,247291
4494656,2639,12329,350736,334486
1756138,1008,4875,134282,133227
5081208,2979,14991,395700,372849
4421146,2600,12344,345830,316651
3473525,2025,9358,269217,256917
3959900,2313,10815,307541,280375
2781870,1627,7786,216584,200434
4230636,2477,11390,329343,306491
4885091,2880,13278,383045,352561
1874400,1065,5155,141627,143749
5396004,3168,14888,421630,402160
3909020,2272,10751,302000,294536
3714538,2160,10096,287385,279425
3898606,2281,10470,303290,288122
3032679,1769,8258,235214,218413
4799258,2822,12937,375361,339018
4023935,2357,11071,313398,287676
4536040,2663,12713,354116,321240
2501051,1452,6836,193324,182500
3841530,2254,10400,299546,275477
5643686,3329,15636,442496,401856
1253850,705,3510,93737,96281
5191291,3065,14124,407527,365944
5163552,3041,13735,404591,372131
1843364,1055,5092,140257,135179
4941663,2909,13652,387035,356694
3667847,2140,9910,284567,272089
3929827,2297,10875,305285,289440
3578999,2097,9565,279079,256396
3174464,1847,8506,245583,226128
5560810,3276,14850,435861,394154
1960470,1132,5312,150518,142556
4983364,2923,13541,388415,361936
4593539,2705,12732,359647,327980
1843418,1057,5052,140518,136736
5218040,3050,13900,405429,391418
3509866,2053,9488,273089,262646
3988317,2325,10561,308979,292439
2982639,1729,7957,230170,226875
3822769,2224,10595,295571,290827
5019150,2952,13681,392626,368676
3272543,1905,9711,253568,237434
3354766,1960,9758,260424,250777
2248599,1297,6128,172561,172985
4010603,2344,10908,311654,297146
4999011,2936,13345,390538,362496
1763876,1001,4907,133095,132886
5288043,3112,14988,413896,387464
3683974,2144,10117,285202,277224
3286461,1921,8835,255410,243731
3542156,2057,9562,273636,266336
3772328,2200,10272,292635,284512
5287430,3112,14332,413763,382187
1871048,1072,5316,142636,139683
5361498,3144,14807,418172,385747
4123741,2420,11033,322279,306309
2297118,1326,6213,175778,168497
4214542,2472,11212,328811,307120
3628004,2121,10190,282246,268709
4803774,2812,12945,373898,356176
1829370,1045,4971,139183,140012
4893763,2870,13062,381336,359917
4831848,2831,13142,376563,358552
2331419,1347,6270,179231,179666
4518184,2648,11970,352204,342330
3399571,1985,9154,264055,251579
4641586,2704,12590,359559,351714
2737726,1592,7578,211914,207408
3628874,2119,9933,281601,272543
5523500,3243,15102,431191,410859
1501512,859,4199,114031,114284
5243054,3082,14087,409537,382309
4188689,2449,11730,325772,309247
2196145,1273,5926,169246,164145
4729098,2784,12691,370154,337423
4267478,2506,12062,333052,306436
2915008,1688,7870,224589,215306
3886273,2281,10684,303260,276693
3719302,2177,10258,289458,268327
4491291,2633,12430,350091,324315
5003035,2920,13209,388410,384503
1884898,1072,5391,142631,154658
5634759,3297,15339,438521,441813
1435353,813,3845,107923,114760
5437617,3185,14742,423605,418546
4704954,2750,12394,365765,363179
2508250,1447,6620,192240,194337
4892316,2866,13022,381238,367805
3369762,1962,9435,260853,254613
4058258,2370,11007,315245,309297
3012760,1750,8204,232421,228261
3868110,2257,11407,300354,292716
5392101,3151,15869,419103,411784
1796815,1025,5235,136119,143399
5565661,3249,15390,432009,433198
4086348,2385,11134,317092,321786
2103362,1208,5724,160847,167823
4501828,2617,11912,347850,363595
3731519,2153,10395,286522,315136
4274194,2479,11357,329624,356513
2663955,1522,7331,202255,222895
4807867,2798,13081,372144,395165
4819440,2804,13372,372686,392284
2456560,1409,7153,187354,202074
4133371,2405,12097,319762,331643
5614757,3269,15413,435068,454497
1760720,999,4729,132676,146906
5399305,3152,14495,419236,428156
3112855,1796,8253,239199,252178
3551295,2060,9454,273759,283504
3878538,2251,10524,299699,316731
3609794,2093,9550,278163,290789
4970996,2898,13509,385560,396501
1775830,1013,4909,134452,143329
4913594,2860,13320,380267,387957
5143959,3003,13746,399015,413906
1294910,728,3701,96884,104418
5412975,3176,14274,422418,415942
2997140,1737,8188,230923,240803
3569875,2064,10316,274562,288818
3935431,2289,11555,304610,306100
3456005,2008,9486,266976,272449
4756336,2785,12844,370144,366954
4133466,2418,10967,321609,321194
2527996,1460,6915,193959,199000
5393536,3156,14590,419896,416108
3325011,1932,8917,256534,254924
3413097,1970,9174,261631,272034
3657683,2120,10327,281980,291522
3640652,2101,10202,279493,285580
4717308,2748,12732,365411,364424
2353431,1352,6392,179896,186406
4362343,2558,11970,340495,328347
5043398,2955,13479,392636,382855
1637123,930,4470,123627,129148
4899228,2863,13911,380799,367632
4243795,2481,11394,329875,320316
3322574,1922,8899,255819,255660
4829375,2816,13319,374302,369301
2483944,1431,6768,190408,193091
4171696,2433,11348,323496,320527
5117844,2999,13654,399025,388132
1856760,1058,5017,140508,148179
5682262,3321,15722,441565,445177
3438723,2000,9475,266168,267316
3383484,1953,9078,259538,265509
3621175,2105,9749,279867,283166
3199403,1864,8698,247937,246803
4528621,2648,12329,352199,350254
2068711,1184,5873,157557,166092
4724450,2758,13083,366824,368690
5457499,3203,14974,425866,411936
1460959,824,4195,109682,115115
5080690,2977,13636,395808,389955
4143465,2411,11259,320545,326876
2589547,1485,7001,197191,207681
4621023,2688,12316,357559,367058
3733771,2164,10282,287837,304842
4448890,2595,11794,345273,358798
2941202,1701,8607,226002,227873
3883515,2245,11359,298650,305121
5023332,2935,14178,390370,398715
2921012,1687,8315,224180,233711
3644412,2112,9732,280926,289817
2527503,1448,7124,192659,199954
4299620,2497,12301,332018,338423
5180375,3028,14691,402749,401710
1855182,1036,5285,137878,151521
5452967,3183,15269,423482,428951
3386773,1953,9581,259558,270456
3277877,1897,9184,252193,260268
5187042,3017,14851,401271,406006
1853849,1051,5315,139504,147947
4730153,2760,13053,367110,367283
4647994,2713,13155,360736,359155
2646012,1517,7116,201565,210700
4785942,2784,13256,370282,370413
3252112,1878,8876,250105,260087
3994521,2315,11038,307649,321139
4888937,2853,14098,379331,381472
1557871,872,4449,116051,131250
4849260,2826,13558,375617,389521
4627204,2681,12984,356475,378853
2090547,1198,5694,159364,172096
5205855,3040,14364,404335,415922
3306134,1915,9428,254883,267195
3701462,2136,10548,284331,301483
4104303,2375,11954,315837,332098
3462135,2012,9577,267478,277250
4639909,2716,13123,361233,355269
4592577,2685,12399,357130,359672
2056591,1173,5986,155833,163623
5159614,3022,14278,401670,401179
3507056,2004,9761,266820,273250
3259359,1890,8922,251164,253363
5578518,3264,15756,433999,426960
1535227,868,4430,115421,125150
5424811,3167,15107,421216,422438
3958761,2306,11338,306615,306697
2639832,1494,7214,198641,213200
5035614,2930,14127,389735,396122
3644932,2119,10231,281985,282590
3678155,2145,10371,285177,285106
4971058,2903,13212,386247,395888
1483294,831,4049,110307,122351
5548638,3245,15806,431319,431061
3395961,1951,9627,259563,271007
4051557,2352,11714,312851,319196
3663549,2129,10214,283059,280252
3367477,1952,9394,259681,262714
5109846,2987,13894,396897,395140
1930850,1081,5488,143785,157632
4713850,2753,13184,366036,363052
85007348,46346105,33694913,268735,1793281
225341284,118347431,86077059,0,3736859
240341457,127528002,92748270,0,3881587
238429508,126626564,92092418,0,3755246
238355341,126691023,92138979,0,3788834
240488238,127454622,92694498,0,3956139
239523005,126384662,91916821,0,3731941
239842991,126724232,92163301,0,3703541
239025945,126117429,91722199,0,3773704
239475569,126877704,92274988,0,3779504
239708612,126803102,92220940,0,3820821
239160763,126612319,92082213,0,3763702
239040872,127372949,92634626,54,4174649
239517274,130245013,94724061,0,3917700
236758969,129519486,94196685,0,3780663
239788808,130301372,94765124,0,3875347
239573831,130708140,95060696,0,3797887
239379672,130955602,95240756,0,3895169
231888426,128795302,93669929,0,3860391
237654252,129642400,94285152,0,3970921
237884717,129541244,94211945,0,4104677
239631179,130323466,94780417,0,3970494
238921493,130213762,94701575,0,3945689
239428594,129681734,94314124,53,4223240
237494260,129506861,94187060,0,3890650
239247415,130893661,95195629,0,3930268
219569071,125729561,91440264,0,3608857
238244887,130295708,94760719,0,3898019
237712640,129499302,94181736,0,3889801
239201939,130536425,94935905,0,3799849
238443961,130203521,94693854,0,3852406
238135328,130250128,94727808,0,3983358
238849402,130532598,94933104,0,3878696
237575435,130130228,94640555,0,3883103
237393371,129851345,94437767,0,3804335
238460316,130170291,94669278,53,4233212
240530148,131042832,95304245,0,3918808
240599761,131447665,95598809,0,3827118
239697531,130718014,95068086,0,3805151
238869909,130210562,94698895,0,3772015
240455233,131177758,95402421,0,3793703
240620111,130916959,95212679,0,3788069
238071762,129758912,94370441,0,3825821
237383702,129410234,94116823,0,3711505
235546635,128459064,93424961,0,3811105
237761469,129208670,93970466,0,3913280
109145800,57095511,41225308,300531,1815973
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
